nu	tau	ll
10.718293036	9.44783475123	-924.874406396
10.3402955728	9.19036807203	-926.237428822
10.3291631635	9.61249185221	-928.23041532
9.97431556415	9.56994942175	-932.214174826
10.2688849884	9.87277101104	-931.257410773
12.104345793	9.90999744419	-924.508160428
10.5672982921	9.50812380435	-925.72820833
10.9942982403	9.30104943996	-924.907098378
11.7611614627	9.95278946805	-922.853452436
10.1220751312	9.69702454185	-931.467712029
11.4803814125	9.82409422968	-923.090710209
10.5789177348	9.63016307949	-926.107980046
10.2017847243	9.52117163647	-928.910535251
11.0095818145	9.8455910748	-924.130323088
10.6864588831	9.77083515605	-925.937130831
12.0561389244	9.47226564494	-929.761184167
12.0022441229	9.85196505818	-924.483942637
10.8077566837	9.52626116187	-924.587458468
10.4098270829	9.21241393538	-925.936797557
10.3463086623	9.41117164816	-926.898039018
11.5891934818	9.97535191682	-922.613551876
11.1104142111	9.9379767692	-923.823918355
10.256213322	9.86790528934	-931.38297646
10.1121388459	9.64581427995	-931.085846937
11.3119926297	9.48160469537	-924.53877496
10.8811423515	9.7154930595	-924.504309372
13.0840430296	8.29284387452	-997.717504653
10.6479427705	9.4400843081	-925.151292363
10.5234615197	9.61933100842	-926.488015732
11.9956795084	9.85142116506	-924.452450284
10.4725247467	9.90183035432	-928.920812471
10.3388862995	9.10549236033	-926.145087484
11.5265958911	9.949590309	-922.703881452
11.6432439988	9.98641884722	-922.581898998
10.9960747552	9.74121333157	-924.031554633
10.8485111328	9.61763168568	-924.501022518
10.6833968086	9.93732806245	-926.92875788
10.2223240223	9.75492836891	-930.694789407
10.1257819427	8.93845794799	-926.92234009
12.1017383429	9.75872125902	-926.141672274
4.34992680879	0.0174131701801	-1326.40983153
0.0447568367275	1.15024696142	-1340.47310879
10.5629598557	9.68628199942	-926.507663067
10.5786309972	9.96738483971	-928.248518184
10.0662271814	8.96905281368	-927.279169731
11.1181663564	9.83905456448	-923.651332454
10.5717189434	9.77190849015	-926.921012678
11.1975165299	9.71109506348	-923.517573414
11.8434296027	9.93253646265	-923.170802535
11.0669868524	9.89721012403	-923.953133707
11.4366827397	9.77438205681	-923.251869209
10.868363813	9.58517487579	-924.398285614
10.3308428858	9.92974254807	-930.99395083
11.4814501145	9.96061623377	-922.717380203
10.3042199139	9.44983585898	-927.440074911
10.2807985131	9.42494002953	-927.507910753
11.822618495	9.85873040824	-923.603029256
11.2952317408	9.95521765202	-923.109616244
10.8700922999	9.80820817398	-924.805860134
12.8808049814	9.91269808079	-931.919974993
12.0282004001	9.97289764023	-923.559855445
11.5208392552	9.1837578123	-928.809333241
11.0224570533	9.80109535974	-923.993329596
11.3085767749	9.66737740116	-923.589877077
11.1415184074	9.68372231874	-923.644173772
11.2769681072	9.17982623033	-926.978436313
11.027886128	9.76036680053	-923.926153529
10.7425634351	9.94534035873	-926.42393705
10.5217909766	9.4861150826	-925.944891546
10.4502019252	9.31139696803	-925.89642737
10.2358933822	9.43321353195	-927.962817966
10.8827555047	9.98709339993	-925.462583209
11.3112122335	9.73666368054	-923.363865063
10.7982623948	9.43634047074	-924.626793595
10.8206368321	9.64762752771	-924.672174856
10.8556819234	9.84650952802	-925.033749745
11.8995564282	9.87598753516	-923.774861284
10.9084477705	9.54358975693	-924.277483455
4.36956900425	0.0174927005143	-1326.40845893
10.0485720481	9.94900021287	-935.608863891
10.6668766326	9.29425528075	-925.067826257
11.0470954843	9.57287990113	-923.969628511
11.8263195499	9.94573874097	-923.041177369
11.4878555752	9.5903306602	-924.344472587
10.4152202496	9.47859128884	-926.671635523
10.2162654066	9.42616069476	-928.105279049
1.50426137195	0.0723314439284	-1314.72913313
10.8789318247	9.68179683913	-924.454521763
12.0202271649	9.78759420381	-925.236640327
11.2104627669	9.71728287582	-923.489258856
11.4381144056	9.9626647339	-922.772629541
10.8955958813	9.67086973932	-924.366550955
10.1468585953	9.40697732075	-928.665792623
10.6625557603	9.07283865971	-925.64433657
11.5235219593	9.84084645461	-923.0509673
13.2858552077	9.92562300591	-937.692669665
11.4132655712	9.97148042841	-922.806681262
10.5632145714	9.52899979865	-925.820721179
11.2630322969	9.88026823935	-923.207089058
11.1402206281	9.9104505834	-923.64036763
