nu	tau	ll
5.90102102906	9.94817734797	-1112.25493974
5.94915237201	9.95167456738	-1112.25198135
5.87773274631	9.8559283384	-1112.26693924
5.83458828518	9.7449593322	-1112.28587973
5.81575362708	9.73837393875	-1112.29160226
5.88958037068	9.88244324033	-1112.26232259
5.92884047833	9.95453968974	-1112.2497231
5.91460366864	9.98256385519	-1112.24943494
5.88488161799	9.8949336433	-1112.26225612
5.95441362978	9.9885161698	-1112.24490009
5.85024232235	9.78144835713	-1112.27928312
5.87916815268	9.92712399527	-1112.26352616
5.92515771671	9.98609214277	-1112.24662132
5.93490302074	9.94309674257	-1112.2517877
5.90492640301	9.97268743374	-1112.25296835
5.8182274386	9.77739194114	-1112.29016654
5.90407343332	9.98370402924	-1112.25316472
5.77961940165	9.54165749492	-1112.32205529
5.87701052612	9.88984322566	-1112.26481347
5.90499554691	9.84979789335	-1112.26756741
5.87521162467	9.87412802095	-1112.26612042
5.88611377797	9.94031231203	-1112.26058369
5.8894410117	9.90963910092	-1112.26021678
5.91181067292	9.96573776498	-1112.25108025
5.84274007096	9.78733677286	-1112.28045039
5.86187114371	9.79701180172	-1112.27587125
5.8928740851	9.93410496597	-1112.25804915
5.93604533541	9.93550533159	-1112.25341206
5.90008146317	9.98109387609	-1112.2548657
5.90910302796	9.93574151236	-1112.25389468
5.88200662374	9.90325619092	-1112.26269203
5.88750559568	9.89951771327	-1112.26133164
5.85797330958	9.90333560987	-1112.27368171
2.63747739632	0.0314534900981	-1325.19773372
2.71641225806	0.0317950439852	-1325.10739572
5.8171133779	9.70478853757	-1112.29343941
5.87789453218	9.88338310315	-1112.26483959
5.91210604808	9.96215921498	-1112.25118182
5.8495505982	9.83437846835	-1112.27625137
5.87167043985	9.86502514582	-1112.26766916
5.89204528389	9.92834440485	-1112.25856749
5.86970904655	9.86363989652	-1112.26830258
5.92625292207	9.98968668866	-1112.24610782
5.85736486482	9.89508145826	-1112.27355435
5.74452467043	9.58727507565	-1112.32505098
5.8190061397	9.74654976207	-1112.29006291
5.91753742793	9.97253980752	-1112.24924909
5.87166524485	9.86475357547	-1112.2676781
5.88651889323	9.90750151458	-1112.2611441
5.88307212368	9.89442358423	-1112.26277238
5.9009425369	9.98502530017	-1112.25459287
5.94700402317	9.98637355571	-1112.24480563
5.86090838494	9.86444042027	-1112.27127081
5.93304296932	9.97427315261	-1112.24680307
5.93500694115	9.97440267472	-1112.2467028
5.8594946359	9.87785522049	-1112.27190885
5.90097135803	9.90397689976	-1112.2583925
5.80631961988	9.7035693096	-1112.29633088
5.87073882289	9.85947879309	-1112.26821313
5.87491574963	9.93732501912	-1112.26601385
5.92403785659	9.97907802594	-1112.2473894
5.90652433504	9.95170430368	-1112.25321732
5.85079289364	9.8928554949	-1112.27732138
5.92698412463	9.92032941287	-1112.25546767
5.8827998824	9.86147783272	-1112.26556856
5.87811603425	9.85805513585	-1112.26666831
5.91512612047	9.97585532147	-1112.24963643
5.92723622384	9.98930088079	-1112.24593989
5.9102030158	9.91746502646	-1112.25583323
5.91908394223	9.98291317579	-1112.24819409
5.84997878157	9.82293676622	-1112.27634465
5.90403023187	9.94149981696	-1112.25447193
5.82640245397	9.7573463435	-1112.28703375
5.90451516124	9.92731715366	-1112.2555188
5.8977320901	9.94325959522	-1112.25619038
5.92449681697	9.98798786318	-1112.24659391
5.85939856495	9.90601666288	-1112.27300584
5.88561245629	9.90234313077	-1112.26164911
5.90935491821	9.98100465018	-1112.25120815
5.91280648281	9.86769270549	-1112.26474691
5.93333843381	9.96903297959	-1112.24750347
5.85116526968	9.74139557808	-1112.28503611
5.90743785102	9.98656097608	-1112.25180731
5.88244108086	9.9076777732	-1112.26245036
5.80835812939	9.73480163079	-1112.29463614
5.89462043161	9.92023093381	-1112.25819371
5.90566973552	9.9538837738	-1112.25338096
5.81598009149	9.68456258544	-1112.29586752
5.91843869254	9.98890059413	-1112.24812064
5.90692797193	9.96273057669	-1112.25259109
5.89876656663	9.95433492126	-1112.2554837
5.9199154193	9.98710950105	-1112.2477596
5.91845413645	9.98728139293	-1112.24816956
5.88973865497	9.89888896096	-1112.26081264
5.89244109929	9.92560652108	-1112.25850355
5.9181559049	9.98652474766	-1112.24827239
5.89557116784	9.82552284542	-1112.27156968
5.88435795233	9.89810589639	-1112.26226235
5.9282156452	9.98926553396	-1112.24576422
5.84570141056	9.80223928598	-1112.27866863
