nuB	nuF	tau	ll
0.010387525712	0.101116283018	0.0804651712272	-357.820581033
0.0106064429314	0.098399722647	0.0817562504106	-357.821571227
0.0105440884123	0.0925455898594	0.0802269065518	-357.558893644
0.010017168543	0.0949665525027	0.0786634555141	-357.789919051
79.4120017874	0.786991492643	0.312995793134	-495.322614203
0.330980575355	0.0498716010464	0.00107633948344	-518.26564098
91.2674277501	0.563675149453	0.0369779512057	-510.933998777
0.0123889417427	0.0401198305496	0.0904596376383	-389.800179207
0.0131676329625	0.123831624576	0.0944859705389	-358.240690248
0.116510015653	0.0967112919259	0.00173508695109	-519.975325068
0.0102164041545	0.0982379456096	0.0799719837347	-358.002096787
0.693949129475	0.114109686925	0.00277581415998	-517.74676363
1.85084929132	0.310394828877	0.0074372256963	-517.682201484
7.29907819999	0.431432629507	0.0291972761643	-510.680240792
0.0102955188892	0.0932006496694	0.0795371721292	-357.541812178
15.0987854079	0.0104047225826	0.516734287259	-412.855835457
0.0403333108128	0.0146772248213	0.00030537159759	-520.037837245
0.0115008775238	0.104165177939	0.085384366467	-357.634082338
76.7504269774	0.629765570092	0.0655081132717	-506.077323796
9.95276406363	0.0109847667823	0.501301749565	-412.63988891
0.0107276258723	0.100994005504	0.0822326393009	-357.770858788
0.767916875772	0.062425062437	0.00139133742385	-518.173131011
0.385487535281	0.0171339340986	0.34448286563	-413.672073046
87.6134657311	0.745613158343	0.349574628491	-487.555141402
0.0101049375209	0.0958516158494	0.0787664179084	-357.636558504
1.36988064013	0.010298322264	0.336254541473	-412.642295888
0.0100046360113	0.0969196646877	0.0781135526968	-357.664280468
9.55940507357	0.0116222701818	0.530364044827	-413.518279438
4.64017260296	0.0134881101478	0.517747307383	-413.154728888
0.0100006801202	0.0938755450896	0.0784694632892	-357.719045341
0.0101173012543	0.093413683392	0.0785586877798	-357.537131655
0.0118509307255	0.107107375811	0.0882481624544	-358.026148855
0.455681504639	0.0636758282478	0.703402142778	-415.706763799
0.0105454098094	0.0980921375947	0.0813309944943	-357.755545634
5.00114010373	0.0100032644012	0.417663809683	-412.49214678
0.0106017196339	0.0978757021688	0.0816943791204	-357.796510908
0.66585507861	0.112320139904	0.00266290993217	-517.777060458
0.0100171542535	0.0942810218171	0.0784807623107	-357.68271788
0.0102895302975	0.0974002963074	0.080236251602	-357.900516787
0.0103278990093	0.0967801415211	0.0805930465954	-358.024975087
0.010166500373	0.096424583733	0.0795235170435	-357.847317621
0.010035360742	0.0908964166599	0.0787368609174	-357.805854257
0.0110912399195	0.1020449205	0.0840429898365	-357.747799449
2.04787344941	0.0177139148123	5.06242661007e-05	-529.074398394
11.157127057	0.462910967919	0.0446292240466	-507.055311954
0.532961664779	0.0493991103726	0.0010242677103	-518.280255067
0.172413161836	0.0308162239608	0.000589945040031	-518.449990086
20.4980308593	0.0109443039941	0.555970102094	-412.606032594
1.17422554972	0.0151961109989	0.426136044584	-413.438117331
0.0102925008503	0.0995802431748	0.0797059783989	-357.712564351
0.0113367952952	0.101316044856	0.0853131353644	-357.765451397
0.0100019311922	0.0956922478845	0.0783648100069	-357.691160646
0.153422960965	0.0293284379728	0.000586642966093	-518.416720352
0.155493056246	2.37983144584	0.0883873073926	-489.674379602
0.0107589981271	0.103504317276	0.0826741253913	-357.975262061
0.0129510542747	0.116730710541	0.0932516743257	-357.946750551
51.8277543985	0.0100071104696	0.579931891548	-412.393209212
0.010011004651	0.0958102397835	0.0786586955776	-357.817131031
0.0100201712183	0.0937911588044	0.078558335231	-357.711099933
0.0100064075368	0.0958635452058	0.0785483292644	-357.768432924
0.010005830897	0.0944441353789	0.078443003219	-357.695333286
78.0301402767	0.719803825436	0.148501154824	-498.600333724
0.010025612016	0.0915133755698	0.0785580333982	-357.705078599
0.0105121745157	0.101074925715	0.0811325851581	-357.804215603
0.0100338559773	0.0955992699483	0.0785392245531	-357.688391506
2.54519850697	0.0101536734182	0.373622928362	-412.515024382
0.563814745445	0.0816564367568	0.0020038541189	-518.054924801
69.403486391	0.0105316290326	0.615602788657	-412.506238702
0.673336678868	0.101731605662	0.00217740325806	-517.979951474
49.0978231962	0.0100284395764	0.57605865901	-412.343918115
0.0102967004161	0.0930840570205	0.0795615912148	-357.545549913
0.0100603539583	0.0982552491297	0.0786342034911	-357.746178759
43.1639040343	0.010004215061	0.570825811101	-412.476957977
0.405188522274	0.0524231948431	0.00115747861301	-518.250929082
8.32809311138	0.010266635918	0.466303059459	-412.725271798
0.0101201024238	0.0928072097225	0.0788480063645	-357.601014963
0.0101110209778	0.0962554488009	0.0790032157883	-357.719201975
0.0103258863097	0.102111599273	0.080183055057	-357.890289468
0.398880925412	0.0416194129783	0.000844953293098	-518.338720484
2.29046238297	0.0138357649088	0.461893993793	-413.277143278
1.14339059008	0.0107998376602	0.338353005619	-413.07156453
