nu	tau	ll
0.059891322013	0.23153656006	-399.499806389
0.047425856277	0.1957689605	-399.529829387
0.0342101622891	0.15175703647	-399.417642493
0.0391578259096	0.169772315523	-399.554755258
0.0578200453199	0.2259525099	-399.508501868
0.0179051339983	0.0923151602259	-399.632950434
0.0351336730097	0.15620021832	-399.533283857
0.0457305391429	0.190330243497	-399.506400855
0.0688554622024	0.256680110474	-399.567614327
0.0537258290506	0.21459799167	-399.533973464
0.0303866428163	0.138489574215	-399.412116138
0.0459818646089	0.191324356505	-399.529371438
0.0378161272098	0.165406950604	-399.56563147
0.0525063866708	0.211274275574	-399.557989094
0.032925201907	0.148704325244	-399.54958065
0.0591973166876	0.230692825896	-399.577242414
0.0583456540565	0.227545735597	-399.516218278
0.0324990861798	0.1458973764	-399.415170425
0.0257690732704	0.121816561838	-399.406524979
0.0528676302585	0.210416659345	-399.454124527
0.0321713390179	0.145841550848	-399.507377167
0.045817616547	0.190490303762	-399.496069247
0.0370393268406	0.162730002435	-399.550866887
0.0445522420792	0.186674920463	-399.507022843
0.0104159116566	0.000452407832396	-551.727064792
0.0297239999248	0.136107628569	-399.411321533
0.0437781229134	0.183984355092	-399.481455799
0.0345077047006	0.154429276498	-399.602613762
0.0574762628361	0.225199662588	-399.522697012
0.0535962929515	0.214327843958	-399.54388127
0.0147714189276	0.0782132462371	-399.397173311
0.0493295153498	0.201305190388	-399.507316706
0.0561734491268	0.221218315199	-399.502784901
0.0410140959639	0.175743963604	-399.544158854
0.0461363755457	0.191823915682	-399.531856604
0.0671620089567	0.249812847063	-399.496627623
0.051639484674	0.20856411294	-399.542396313
0.0384445337784	0.167352477326	-399.543523316
0.0346384566421	0.15481547877	-399.589677044
0.044057434542	0.185493059057	-399.550752149
0.0429401807607	0.181724190044	-399.520513589
0.0411929894319	0.175839821353	-399.485960792
0.0791276423483	0.281854710295	-399.552736816
0.0108623541329	1.28567307768	-534.328194989
0.0601913967546	0.231247216656	-399.473411378
0.0365597503506	0.160739134463	-399.493906383
0.0540044133536	0.215083474827	-399.50785689
0.0577909588964	0.224525354548	-399.466753082
0.030622775575	0.140617118884	-399.549532001
0.0235466191708	0.113493687798	-399.404188046
0.0415929780147	0.177559143369	-399.53742549
0.040622961036	0.174505727683	-399.548003749
0.0740851151081	0.270051745067	-399.569658297
0.026162237624	1.37736664959	-534.32819499
0.0448277949364	0.188011701788	-399.564256401
0.050120164326	0.2040652089	-399.545092917
0.0346207282167	0.154792800615	-399.59754907
0.0266605553988	0.126211490261	-399.539811112
0.0203849857457	0.365893614303	-534.327336647
0.0525939918217	0.21173510572	-399.580553052
0.0424828846319	0.180507962464	-399.551349533
0.0684883893394	0.255236437352	-399.53915655
0.0449045287868	0.187656426773	-399.495546551
0.0729278259017	0.26629818481	-399.53225564
0.049436650134	0.201324890846	-399.483924818
0.0513032372859	0.206854459337	-399.483884995
0.0242461811475	0.116107892762	-399.404974918
0.0415055855306	0.177017520092	-399.504791885
0.0396980108994	0.171163073091	-399.502710381
0.0452878015024	0.188865723944	-399.497365989
0.0712593910347	0.262455954501	-399.545232593
0.0323978716559	0.146594635152	-399.501542898
0.0596020187631	0.229573922493	-399.471760395
0.0421261590328	0.178990884645	-399.503714993
0.0561429810624	0.220949765911	-399.49225122
0.0525376927433	0.209413640453	-399.453277224
0.0474557637923	0.196002050333	-399.545773485
0.0567655100895	0.222896554474	-399.502989572
0.0430179617132	0.181773389929	-399.498608939
0.0741387304392	0.270528497538	-399.589330564
0.0498722210941	0.203027461875	-399.515824007
0.0446350333596	0.187236730569	-399.541739778
0.0483241866421	0.198398826245	-399.51902573
0.0322292613327	0.145866003755	-399.480663294
0.0312836857957	0.142819496893	-399.523054731
0.0465071973505	0.193093619274	-399.546514101
0.039742258332	0.171432190808	-399.518451087
0.0626397155017	0.239134961481	-399.50632445
0.0476416364605	0.196301358691	-399.516761298
0.0617605998474	0.237227792504	-399.532389846
0.0304386089302	0.13997525066	-399.552261485
0.0378013579626	0.164945180109	-399.503547584
0.0103077201381	0.333847530485	-534.328194987
0.0191534108422	0.517027428042	-534.328194879
0.0505932216614	0.203717322946	-399.448721276
0.0399505038584	0.172048070214	-399.510549842
0.0499015904787	0.203646463848	-399.572315463
0.0554556210746	0.219231950503	-399.506415343
0.0632283715123	0.241011054111	-399.520830603
0.0534323553857	0.213929141013	-399.551672835
