nu	tau	ll
0.011119002174	0.333503421732	-412.943252908
0.0118191995203	0.349354258599	-413.230923523
0.010167201353	0.31991678812	-413.73004906
0.0111027464361	0.333529686682	-412.975138397
0.0117398681676	0.348864982969	-413.352883369
0.0121555858856	0.354900995873	-413.162440977
0.010210018726	0.314487515381	-412.772350783
0.0113092338512	0.334063989131	-412.757676528
0.0117682393487	0.347894865205	-413.174447155
0.0112456917883	0.336086817063	-412.964256968
0.0123303624904	0.358967841169	-413.2504966
0.0100958351398	0.310289418075	-412.61044996
0.0103921650413	0.318557950268	-412.828219502
0.0112563828181	0.34061832458	-413.505532547
0.010126397133	0.313529086462	-412.841756534
0.0105085576958	0.324575450232	-413.312189372
0.0105135728004	0.325901924331	-413.517894856
0.0109300668833	0.330547801364	-413.005309811
0.0100551511136	0.311064123064	-412.730301021
0.0119739880879	0.350611501657	-413.070944864
0.0101421786337	0.312189416241	-412.683801168
0.0105866068096	0.320121601309	-412.673288783
0.0134863723234	0.374813964476	-413.038101425
0.0105589287943	0.322695401751	-412.925300128
0.0114059709685	0.337479306172	-412.846771697
0.010931482782	0.329944617024	-412.939475768
0.0116561824832	0.344017942095	-412.99892713
0.0100053964908	0.310204587983	-412.74021901
0.0110837670831	0.33292988278	-412.951320315
0.0107383227778	0.329494863832	-413.364614981
0.0106039973794	0.324709383353	-413.060479726
0.0103998850386	0.319275912042	-412.887722882
0.0100635877275	0.310823045609	-412.693988654
0.0104735258653	0.322473027283	-413.104340545
0.0133737661647	0.376758410405	-413.200548043
0.0190834874681	0.467180087494	-413.664447123
0.0104316682847	0.319303900511	-412.82711311
0.0114666869578	0.340486359555	-412.993085864
0.0109150103305	0.329669031785	-412.943041165
0.0107599554256	0.326017792908	-412.872864167
0.0120285236322	0.351510296842	-413.06373054
0.0115407063805	0.343569660179	-413.166965503
0.0100582766301	0.312954074488	-412.934800591
0.0111866208652	0.336574839992	-413.134358283
0.0100496408732	0.311514617106	-412.785982207
0.0140874902902	0.384450662769	-413.103418861
0.0105127333609	0.326644962682	-413.656649364
0.0101592738692	0.315378873718	-412.988843582
0.0111528013273	0.333916316028	-412.923605974
0.0105433116821	0.322656361639	-412.954900878
0.0101745954684	0.316127312508	-413.049247118
0.0102077130506	0.317356655695	-413.130864772
0.0102490802215	0.318191389422	-413.131447716
0.0102856898025	0.317799601365	-412.977552283
0.0140323701204	0.389100383309	-413.289933741
0.0113576737474	0.336970946306	-412.869738452
0.0126113476634	0.363445636894	-413.194677563
0.0108459851175	0.327800935483	-412.888145597
0.0100493995452	0.311152399039	-412.749531301
0.0130088860549	0.371548775293	-413.289425879
0.0107813164449	0.325159899376	-412.769508155
0.0100327557337	0.310258367209	-412.696085134
0.0101699740916	0.315021445495	-412.916172069
0.0101026855447	0.313807285389	-412.930940942
0.0112052860456	0.33422794395	-412.869843551
0.01020160836	0.316932666501	-413.086772443
0.0117617640967	0.347309287313	-413.125625662
0.0105986759917	0.32438421641	-413.032647671
0.0108726089002	0.327126325981	-412.791395493
0.0113124489322	0.334798854901	-412.787198634
0.0113025697346	0.33522171165	-412.819435977
0.0126002953508	0.363336637691	-413.202488376
0.0111078806921	0.338029170561	-413.55858422
0.0101443419939	0.319294008526	-413.699881371
0.0101038185403	0.31186125778	-412.717656614
0.0104598754664	0.319304956073	-412.777693183
0.0300662030918	0.626050133971	-414.523217664
0.0148233306157	0.403012950429	-413.355436566
0.0111878437447	0.338082660723	-413.327650693
0.0101878371302	0.312512088126	-412.645219937
0.0105455771216	0.328062610695	-413.800770898
0.0126145273256	0.363507131221	-413.195113984
0.0104795382257	0.320780374533	-412.883888747
0.0128676169573	0.369384612213	-413.32250904
0.0109527295599	0.332073087275	-413.133806017
0.0129466406972	0.368338561917	-413.120858998
0.0104882708054	0.322948415776	-413.129726114
0.0130151975645	0.369477206599	-413.119281975
0.0127443977925	0.366646803822	-413.270717174
0.0108413840451	0.326858630152	-412.814337491
0.0103815299826	0.320716601012	-413.113942776
0.19981066921	0.00800885520765	-519.066375217
0.0111909440665	0.334155254711	-412.884552876
0.0113739532033	0.338939910295	-413.008718596
0.010346028428	0.316124207553	-412.693827061
0.0101094666687	0.311488038254	-412.677033704
0.0100200440124	0.311950395473	-412.903928675
0.0105589945234	0.322978219631	-412.956930044
0.0100075315511	0.311755414734	-412.91078647
0.0105688044357	0.32517706242	-413.220295358
