Experiment	Strain	GlycoproteinAdded	R1abPlated	PercentMaxBinding SD
1	derived	0	3	10.9	5.8
2	derived	0.3	3	50.5	8.5
3	derived	1	3	66.5	6.2
4	derived	3	3	79.9	2.1
5	derived	10	3	100	0
6	ancestral	0	3	11.1	5.8	
7	ancestral	0.3	3	53.3	11.1
8	ancestral	1	3	70.2	8.9
9	ancestral	3	3	84.5	5.0
10	ancestral	10	3	105.5	4.2
11	derived	0	10	6.7	2.1
12	derived	0.3	10	58.4	8.6
13	derived	1	10	71.6	6.5
14	derived	3	10	81.9	3.9
15	derived	10	10	100.0	0.0
16	ancestral	0	10	6.6	2.0
17	ancestral	0.3	10	56.8	3.8
18	ancestral	1	10	70.5	2.3
19	ancestral	3	10	80.8	5.9
20	ancestral	10	10	99.5	10.7
