All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    13.ctg   14.ctg   15.ctg   16.ctg   18.ctg   19.ctg   31.ctg   41.ctg   42.ctg   43.ctg   7687_plasmid_contigs  JTLN01.1  JXBG01.1  KACC16562  KB622.ctg  M2285.ctg  MF4371   MF6029   NCTC7540  NCTC7666  NCTC7687  NCTC7692  REF_Ss_troy_2014-0209  SRR3057117.ctg  Ssapro-055  Ssapro-063  SSC01.ctg  SSC02.ctg  SSC03.ctg  SSC04.ctg  SSC05.ctg  SSMast.ctg  StaphSaprophyticusATCC15305  Staphylococcus_saprophyticus_758_SSAP  Staphylococcus_saprophyticus_FDAARGOS_137  Staphylococcus_saprophyticus_FDAARGOS_168  Staphylococcus_saprophyticus_G764  X4035.ctg
# contigs (>= 0 bp)         452      113      93       1081     193      324      76       785      163      170      13                    36        44        58         202        119        38       35       1         1         14        2         1                      491             50          36          280        403        178        365        249        204         1                            98                                     1                                          1                                          21                                 173      
# contigs (>= 1000 bp)      124      84       52       162      84       76       42       73       12       20       13                    24        31        40         50         52         27       23       1         1         14        2         1                      32              35          25          18         206        19         133        74         53          1                            87                                     1                                          1                                          13                                 29       
# contigs (>= 5000 bp)      62       64       36       93       58       45       28       45       7        14       3                     20        20        31         31         40         22       18       1         1         4         2         1                      22              26          16          13         116        12         85         35         31          1                            73                                     1                                          1                                          11                                 25       
# contigs (>= 10000 bp)     35       55       34       59       45       37       20       34       7        12       2                     18        18        24         25         32         19       15       1         1         3         2         1                      20              22          14          13         73         12         60         25         27          1                            60                                     1                                          1                                          8                                  24       
# contigs (>= 25000 bp)     23       34       24       25       30       24       15       27       7        10       2                     13        16        23         16         23         18       11       1         1         3         2         1                      15              17          10          13         38         10         24         16         20          1                            35                                     1                                          1                                          6                                  18       
# contigs (>= 50000 bp)     12       17       11       11       22       17       12       18       4        6        0                     9         12        14         11         14         12       8        1         1         1         1         1                      11              12          5           8          21         8          10         11         16          1                            15                                     1                                          1                                          5                                  11       
Total length (>= 0 bp)      2773081  2675869  2620296  3006877  2623285  2644647  2641772  2780439  2624974  2728369  111276                2688808   2708421   2619936    2777697    2621784    2579487  2513242  2524303   2610801   2757812   2634393   2471881                2650533         2659014     2568921     2595811    4431966    2645438    2626576    2726838    2869588     2516575                      2629401                                2551234                                    2583617                                    2610655                            2608690  
Total length (>= 1000 bp)   2641147  2660289  2598248  2655964  2572902  2545180  2625331  2607239  2581301  2687524  111276                2683274   2703229   2607865    2757425    2606068    2576331  2508875  2524303   2610801   2757812   2634393   2471881                2508198         2653367     2563195     2528132    4350079    2602211    2559909    2678626    2824963     2516575                      2624718                                2551234                                    2583617                                    2605943                            2591257  
Total length (>= 5000 bp)   2498324  2608920  2564259  2491917  2516590  2470741  2595271  2540875  2568633  2672477  78659                 2671274   2676035   2588319    2709700    2573313    2563580  2493789  2524303   2610801   2725195   2634393   2471881                2480833         2621585     2536764     2516161    4144926    2590810    2444019    2573789    2766490     2516575                      2597312                                2551234                                    2583617                                    2601005                            2581875  
Total length (>= 10000 bp)  2311376  2542513  2546904  2236220  2419697  2405972  2539733  2457965  2568633  2658360  71996                 2656834   2660006   2542835    2661101    2518445    2536950  2468147  2524303   2610801   2718532   2634393   2471881                2464627         2598974     2522932     2516161    3836887    2590810    2252575    2505943    2736038     2516575                      2504272                                2551234                                    2583617                                    2576699                            2576260  
Total length (>= 25000 bp)  2125089  2189428  2378545  1676656  2177075  2211622  2466324  2360171  2568633  2617740  71996                 2575130   2635016   2526391    2519862    2375405    2517505  2408327  2524303   2610801   2718532   2634393   2471881                2399265         2529017     2464786     2516161    3269089    2563150    1660779    2371685    2615335     2516575                      2072324                                2551234                                    2583617                                    2539549                            2478159  
Total length (>= 50000 bp)  1728920  1529493  1870928  1174085  1912078  1962949  2346740  2082378  2462319  2483912  0                     2450210   2498730   2179721    2344754    2040486    2327565  2316073  2524303   2610801   2646536   2606055   2471881                2255812         2370369     2289461     2352940    2661820    2488145    1167474    2169637    2484173     2516575                      1327471                                2551234                                    2583617                                    2512538                            2215969  
# contigs                   160      99       69       228      116      99       56       85       19       29       13                    26        33        58         62         60         27       25       1         1         14        2         1                      55              39          31          20         267        20         153        85         73          1                            91                                     1                                          1                                          21                                 39       
